model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11,label12,label13,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7,prediction8,prediction9,prediction10,prediction11,prediction12,prediction13
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,55.1,55.575372285802416,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,55.1,59.85372285802413,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,55.1,102.63722858024124,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,55.1,150.17445716048246,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,55.1,197.7116857407237,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,55.1,97.27094119125786,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,55.1,107.81367648907234,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,55.1,118.35641178688681,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,55.1,128.89914708470127,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,55.1,139.44188238251573,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,1,0,0,0,1,0,0,0,0
